2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,6.3,0,0,0.04,0,4.76,0,0,0,0,0,,6.54,0,0,0,0,3.7
0,0,6.14,,0,0,0,5.04,0,0,0,0,0,,6.69,0,0,0,0,5.55
0,0,5.91,0,0,0,0,5.47,0,0,0,0,0,,5.91,0,0,0,0,4.92
0,0,4.69,0.59,0.67,0,0,5.71,0,0,0,0,0,,2.4,0,0,0,0,8.43
0,0,4.02,0.16,0.28,0,0,5.83,0,0,0,0,0,,0,0,0,0,0,15.2
0,0.28,3.39,0,1.34,0.63,0,5.94,0,0,0,0,0,,0,0,0,0,0,13.58
0,0,3.23,0,1.26,0,0.31,4.76,0,0,0,0,0,,0,0,0,0,0,12.72
0,0,2.76,0,1.26,0,0.43,2.83,0,0,0,0,0,,0,0,0,0,0,10.94
0,0,2.83,0,0.98,0,0.16,0.59,0,0,0,0,0,,0,0,0,0,0,8.9
0,0,2.32,0,0.16,0,0.79,0.75,0.59,0,0,0,0,,0,0,0,0,0,15.31
0,0,1.61,0,0,1.02,1.54,0.24,0,0,0,0,0,0,0,0,0,0,0,16.61
0,0,0.75,0,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,16.46
0,0,0.43,0,0.08,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,14.88
0,0,0,0,0,0,2.36,0,0,0,0,0.83,0,0,0,0,0.28,0,0,8.54
0,0,0,0,0,0,1.38,0.2,0,0,0,0.59,0,0,0,0,0,0,0,6.42
0,0,0,0,0,0,1.61,0,0,0,0,0.12,0,0,0,0,0,0,0,4.65
0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,10.35,0.39
0,0.08,0,0,0,0.16,0,0,0,0,0,0.04,0,0,0,0,0,0,13.74,0
0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,12.32,0
0,0,0.91,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,11.46,0
0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,0
0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.47,2.13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28,1.97
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87,2.44
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0.94
0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11,0
0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
